iter	MultiClass
0	2.051708323
1	2.027276881
2	2.005584798
3	1.986997663
4	1.968965614
5	1.952953494
6	1.939691025
7	1.925926947
8	1.913321799
9	1.902065303
10	1.891553661
11	1.882163897
12	1.872838096
13	1.863915993
14	1.85544836
15	1.846744229
16	1.839160639
17	1.83343212
18	1.826486982
19	1.819847108
20	1.813784334
21	1.807652943
22	1.801281184
23	1.795235923
24	1.790333833
25	1.785498522
26	1.780514276
27	1.775909276
28	1.770997261
29	1.76595099
30	1.761638201
31	1.757914115
32	1.753004252
33	1.748300014
34	1.744785792
35	1.741734808
36	1.73804149
37	1.734921823
38	1.73222864
39	1.728822325
40	1.725680764
41	1.724018275
42	1.720653649
43	1.717486971
44	1.714901094
45	1.712358785
46	1.710266387
47	1.708220266
48	1.705902127
49	1.703829646
50	1.701289653
51	1.698895976
52	1.697020941
53	1.694939297
54	1.692643231
55	1.690386069
56	1.688617504
57	1.686610101
58	1.684761396
59	1.683118925
60	1.6807325
61	1.678837043
62	1.676807146
63	1.674678708
64	1.672653193
65	1.670947337
66	1.669014856
67	1.667020765
68	1.665158241
69	1.662964517
70	1.660973966
71	1.659609582
72	1.658070547
73	1.656571438
74	1.65519882
75	1.654434472
76	1.652558323
77	1.650931755
78	1.64947203
79	1.647807558
80	1.646389787
81	1.645228244
82	1.643604999
83	1.642476635
84	1.641621167
85	1.640412499
86	1.63939836
87	1.63807051
88	1.636583834
89	1.635187867
90	1.634498481
91	1.633181529
92	1.632324628
93	1.631081602
94	1.630029063
95	1.628923843
96	1.627068571
97	1.626195938
98	1.62550088
99	1.62453951
100	1.623622259
101	1.622418916
102	1.621416129
103	1.620499171
104	1.619849692
105	1.618933483
106	1.618126353
107	1.617277884
108	1.616221169
109	1.615328168
110	1.614127777
111	1.613352521
112	1.612606324
113	1.611391758
114	1.610490222
115	1.609632758
116	1.609087195
117	1.608502192
118	1.607829458
119	1.606703819
120	1.606113515
121	1.60536826
122	1.604675935
123	1.603800999
124	1.603297898
125	1.602454322
126	1.601775109
127	1.601065264
128	1.600204944
129	1.599603861
130	1.598487515
131	1.59784715
132	1.596925931
133	1.596428678
134	1.595422089
135	1.59481561
136	1.594297847
137	1.593289183
138	1.592672178
139	1.59227278
140	1.591585448
141	1.591094272
142	1.59035966
143	1.589814967
144	1.588987415
145	1.588351197
146	1.58798568
147	1.587560315
148	1.5869318
149	1.586281901
150	1.585551621
151	1.58471366
152	1.583795404
153	1.583214593
154	1.582648525
155	1.582020964
156	1.581462803
157	1.580721095
158	1.580291598
159	1.579413097
160	1.578815222
161	1.578497498
162	1.577785361
163	1.577063226
164	1.576400692
165	1.576110876
166	1.575923062
167	1.575054095
168	1.574606077
169	1.574024177
170	1.573549469
171	1.57286056
172	1.572327262
173	1.57166739
174	1.571266131
175	1.570524572
176	1.569787499
177	1.569127018
178	1.568624338
179	1.568316222
180	1.56780199
181	1.56711222
182	1.566730353
183	1.566099941
184	1.565519767
185	1.564961793
186	1.564607194
187	1.564004884
188	1.563513359
189	1.562885034
190	1.562692089
191	1.56216129
192	1.561668131
193	1.561097239
194	1.560480334
195	1.559751861
196	1.559385864
197	1.558670518
198	1.557881724
199	1.557548565
200	1.557057014
201	1.556540651
202	1.556319844
203	1.555852998
204	1.555495758
205	1.554930455
206	1.554587144
207	1.553990684
208	1.553612575
209	1.552979931
210	1.552712062
211	1.551887968
212	1.551237493
213	1.550748547
214	1.550147769
215	1.549830101
216	1.549449112
217	1.548832377
218	1.548311545
219	1.547760051
220	1.546883378
221	1.546022274
222	1.545286339
223	1.544853356
224	1.54433283
225	1.543838448
226	1.543186102
227	1.542823251
228	1.542600522
229	1.542173577
230	1.541685922
231	1.540876496
232	1.540557954
233	1.540155197
234	1.539704
235	1.539242893
236	1.53844
237	1.5375545
238	1.536919357
239	1.536266092
240	1.535706562
241	1.535327649
242	1.534817046
243	1.534081234
244	1.533321043
245	1.532778638
246	1.53236257
247	1.531829574
